Year,Month,price_m2,Date
2017,1,4523.7742901991205,2017-01-01
2017,2,4585.072229512207,2017-02-01
2017,3,4624.392669881599,2017-03-01
2017,4,4564.304183527883,2017-04-01
2017,5,4592.09763256448,2017-05-01
2017,6,4615.460328700694,2017-06-01
2017,7,4563.601904344468,2017-07-01
2017,8,4574.96694902602,2017-08-01
2017,9,4610.073413054528,2017-09-01
2017,10,4567.584647467139,2017-10-01
2017,11,4560.477014321998,2017-11-01
2017,12,4545.890537265622,2017-12-01
2018,1,4556.8083102571445,2018-01-01
2018,2,4516.0807733011925,2018-02-01
2018,3,4611.615775461999,2018-03-01
2018,4,4548.95166586181,2018-04-01
2018,5,4530.501881181559,2018-05-01
2018,6,4535.725010883217,2018-06-01
2018,7,4517.271498992988,2018-07-01
2018,8,4512.962759145807,2018-08-01
2018,9,4430.965704278243,2018-09-01
2018,10,4466.566055165624,2018-10-01
2018,11,4456.353973920679,2018-11-01
2018,12,4443.431121215277,2018-12-01
2019,1,4450.553497121354,2019-01-01
2019,2,4452.89552836613,2019-02-01
2019,3,4511.357220860457,2019-03-01
2019,4,4444.855105518049,2019-04-01
2019,5,4469.358439041557,2019-05-01
2019,6,4459.648760284488,2019-06-01
2019,7,4461.111825479045,2019-07-01
2019,8,4485.693656516477,2019-08-01
2019,9,4483.342068435767,2019-09-01
2019,10,4487.262555057491,2019-10-01
2019,11,4510.0528723818215,2019-11-01
2019,12,4499.1549402295295,2019-12-01
2020,1,4484.180285668397,2020-01-01
2020,2,4554.590239534781,2020-02-01
2020,3,4538.978148166308,2020-03-01
2020,4,4483.190863382141,2020-04-01
2020,5,4547.1866433458645,2020-05-01
2020,6,4510.3221620962795,2020-06-01
2020,7,4580.799091412271,2020-07-01
2020,8,4610.083301336644,2020-08-01
2020,9,4742.301732561215,2020-09-01
2020,10,4867.952827751022,2020-10-01
2020,11,4861.559788058455,2020-11-01
2020,12,4899.103481403527,2020-12-01
2021,1,4961.119156193622,2021-01-01
2021,2,5041.570068409805,2021-02-01
2021,3,5096.986452761465,2021-03-01
2021,4,5132.27512469616,2021-04-01
2021,5,5281.682448732001,2021-05-01
2021,6,5225.391241819291,2021-06-01
2021,7,5224.483883535318,2021-07-01
2021,8,5300.444457632958,2021-08-01
2021,9,5349.602986746195,2021-09-01
2021,10,5388.451899042313,2021-10-01
2021,11,5441.334441656184,2021-11-01
2021,12,5504.640431337807,2021-12-01
2022,1,5470.156963698734,2022-01-01
2022,2,5540.9688575920245,2022-02-01
2022,3,5592.196061054382,2022-03-01
2022,4,5619.307423552153,2022-04-01
2022,5,5718.461456996068,2022-05-01
2022,6,5749.760465120314,2022-06-01
2022,7,5775.824661182869,2022-07-01
2022,8,5729.378849942032,2022-08-01
2022,9,5874.782169573531,2022-09-01
2022,10,5910.709557088828,2022-10-01
2022,11,5850.73387148222,2022-11-01
2022,12,5855.644273091434,2022-12-01
2023,1,5951.547153129755,2023-01-01
2023,2,5887.948100996031,2023-02-01
2023,3,6023.899996827191,2023-03-01
2023,4,6035.032141428582,2023-04-01
2023,5,6040.135052994404,2023-05-01
2023,6,6069.5472008748675,2023-06-01
2023,7,6049.677663276485,2023-07-01
2023,8,6152.55221754643,2023-08-01
2023,9,6141.664796094299,2023-09-01
2023,10,6156.652875696565,2023-10-01
2023,11,6146.875851201419,2023-11-01
2023,12,6200.456613691456,2023-12-01
2024,1,6233.046644351715,2024-01-01
2024,2,6211.2773981978335,2024-02-01
2024,3,6301.58258481996,2024-03-01
2024,4,6312.844033739632,2024-04-01
2024,5,6363.400733872062,2024-05-01
2024,6,6578.891581821031,2024-06-01
2024,7,6577.447963622747,2024-07-01
2024,8,6546.685681957921,2024-08-01
2024,9,6680.42900831915,2024-09-01
2024,10,6685.9789331910315,2024-10-01
2024,11,6685.1584109339265,2024-11-01
2024,12,6799.555825342326,2024-12-01
2025,1,6801.1904473360055,2025-01-01
2025,2,7139.081034062012,2025-02-01
