year,intake,enrolment,intake_rate,intake_boxcox,enrolment_boxcox,intake_pred_boxcox,enrolment_pred_boxcox,intake_pred,enrolment_pred,intake_rate_pred
2005,12508.0,43663.0,28.64668025559398,4940.105444202498,1330.3128480331277,5223.49676783022,1361.5946340625087,13317.687616625462,45301.59794042885,29.39783191343071
2006,13733.0,46479.0,29.54667699391123,5368.109027764965,1383.8140130779768,5386.758506563085,1395.7978614769672,13786.661947414248,47118.65020237829,29.259458596966287
2007,14353.0,48962.0,29.314570483231893,5583.097465102006,1430.0011290933385,5550.0202452960075,1430.0010888914258,14257.412548644645,48961.997818009135,29.119343948421367
2008,14135.0,50904.0,27.767955366965268,5507.6244744827345,1465.5235451614274,5713.281984028872,1464.2043163058697,14729.893598568226,50831.379417011805,28.97795371187301
2009,15264.0,53579.0,28.48877358666642,5897.140637207155,1513.6437608359129,5876.543722761795,1498.4075437203282,15204.061735844445,52726.54230904102,28.835688952881338
2010,14909.0,55295.0,26.96265485125237,5775.017968745599,1544.0451559562318,6039.8054614946595,1532.6107711347868,15679.87586258888,54647.242002706116,28.69289517266474
2011,15566.0,56822.0,27.394319101756363,6000.78291786167,1570.8059013690083,6203.067200227582,1566.8139985492453,16157.296968099934,56593.24176142862,28.549870029025293
2012,16199.0,58863.0,27.519834191257665,6217.302591191848,1606.1628341874136,6366.328938960447,1601.0172259636893,16636.28797059945,58564.31219258071,28.406869896966086
2013,17251.0,59864.0,28.816985166377123,6575.090058367527,1623.3374719075086,6529.59067769337,1635.2204533781478,17116.81357473584,60560.23086676012,28.264115459524774
2014,17870.0,61993.0,28.825835174939105,6784.47526869113,1659.5165868346191,6692.852416426234,1669.4236807926063,17598.840142918354,62580.78196438897,28.12179648527373
2015,18126.0,64303.0,28.188420446946488,6870.834287407148,1698.2555493082468,6856.114155159157,1703.6269082070648,18082.335578840568,64625.755947168946,27.980075921468117
2016,18552.0,66531.0,27.884745457005007,7014.242505572878,1735.1345527341798,7019.375893892022,1737.8301356215234,18567.26922176881,66694.94925216773,27.839093409558796
2017,18668.0,68181.0,27.38006189407606,7053.2290513157595,1762.1524060869517,7182.637632624945,1772.0333630359673,19053.611750378866,68788.16400656088,27.698968311701954
2018,20041.0,70690.0,28.3505446314896,7512.690506657221,1802.7770793458371,7345.899371357809,1806.2365904504259,19541.335095074905,70905.20776126978,27.55980232209245
2019,20713.0,73797.0,28.06753662072984,7736.284090544957,1852.3526188418607,7509.161110090732,1840.4398178648844,20030.412357875663,73045.89324189075,27.421681724864598
2020,20976.0,76082.0,27.57025314791935,7823.5714136196375,1888.3208181673317,7672.422848823597,1874.643045279343,20520.817739059035,75210.03811551124,27.284679350304497
2021,21307.0,78945.0,26.98967635695737,7933.255132279843,1932.8283186723727,7835.68458755652,1908.846272693787,21012.526469867793,77397.46477211117,27.148856272924448
2022,17925.0,79608.0,22.516581248115767,6803.0404717755355,1943.04949827033,7998.946326289384,1943.0495001082454,21505.51475065458,79608.00011940121,27.01426328811077
2023,21308.0,80944.0,26.32437240561376,7933.586215300773,1963.5508892007763,8162.208065022307,1977.252727522704,21999.759693929962,81841.47539003805,26.88094219841964
2024,,,,,,8325.469803755172,2011.4559549371625,22495.239271827988,84097.72596028008,26.748926935851557
2025,,,,,,8488.731542488094,2045.6591823516064,22991.93226757315,86376.59117921167,26.618244542517484
2026,,,,,,8651.993281220959,2079.862409766065,23489.81823056676,88677.91420776046,26.488916028779464
2027,,,,,,8815.255019953882,2114.0656371805235,23988.877434764745,91001.5418667813,26.360957125190765
2028,,,,,,8978.516758686746,2148.268864594982,24489.09084004398,93347.32449357213,26.234378942194848
